Планета;Звезда;Уточненная природа;Масса(Me);Радиус(Re);Плотн(г/см3);Т-ра(K);Период(дн);Орбита(а.е.);PRI;ESI;Статус ИИ;Надёжность ИИ
TOI-700 d;TOI-700;Обитаемая Земля;1.43;1.07;6.36;244;37.42;0.163;0.853;0.959;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TOI-700 e;TOI-700;Каменистая планета;1.19;0.95;7.55;270;27.81;0.134;0.576;0.955;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1649 Ac;Kepler-1649 A;Каменистая планета;1.62;1.06;7.37;240;19.54;0.083;0.649;0.950;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1649 c;Kepler-1649;Каменистая планета;1.67;1.06;7.73;239;19.54;0.083;0.575;0.950;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
KIC 5522786 b;KIC 5522786;Железная планета;2.79;1.23;8.20;253;757.16;1.974;0.534;0.937;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
TRAPPIST-1 e;TRAPPIST-1;Обитаемая Земля;0.69;0.92;4.90;228;6.10;0.029;0.905;0.919;Оригинал;Оригинал
TRAPPIST-1 d;TRAPPIST-1;Каменистая планета;0.39;0.79;4.37;261;4.05;0.022;0.848;0.917;Оригинал;Оригинал
K2-72 e;K2-72;Обитаемая Земля;2.62;1.29;6.73;262;24.16;0.106;0.844;0.912;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1229 Ab;Kepler-1229 A;Обитаемая Земля;2.54;1.34;5.82;247;86.83;0.316;0.961;0.900;Оригинал;Оригинал
TOI-1266 d;TOI-1266;Каменистая планета;3.68;1.38;7.67;262;32.51;0.151;0.681;0.890;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-442 b;Kepler-442;Обитаемая Земля;3.05;1.34;6.97;241;112.31;0.386;0.809;0.888;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
GJ 1061 d;GJ 1061;Обитаемая Земля;1.67;1.19;5.50;222;13.07;0.054;0.939;0.881;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Luyten's Star b;Luyten's Star;Обитаемая Земля;2.93;1.40;5.89;274;18.64;0.091;0.958;0.865;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-296 Ae;Kepler-296 A;Массивная Суперземля;3.35;1.52;5.21;239;34.14;0.149;0.792;0.847;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-452 b;Kepler-452;Массивная Суперземля;6.82;1.63;8.68;261;384.84;1.048;0.540;0.844;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1652 b;Kepler-1652;Массивная Суперземля;4.89;1.60;6.58;245;38.10;0.164;0.953;0.843;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
GJ 682 b;GJ 682;Массивная Суперземля;4.40;1.60;5.89;243;17.48;0.085;0.909;0.839;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-51 e;Kepler-51;Массивная Суперземля;5.40;1.67;6.38;261;264.28;0.795;0.990;0.836;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Ross 508 b;Ross 508;Мир-Океан;3.41;1.66;4.07;268;10.77;0.054;0.530;0.825;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
GJ 3998 d;GJ 3998;Массивная Суперземля;6.69;1.72;7.26;266;41.78;0.189;0.843;0.819;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TOI-715 b;TOI-715;Массивная Суперземля;4.33;1.55;6.41;227;19.29;0.086;0.975;0.817;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1229 b;Kepler-1229;Железная планета;4.10;1.40;8.24;213;86.83;0.312;0.570;0.816;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-283 c;Kepler-283;Массивная Суперземля;6.48;1.82;5.93;249;92.74;0.335;0.866;0.812;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
K2-288 Bb;K2-288 B;Мир-Океан;4.05;1.70;4.51;237;31.39;0.135;0.610;0.810;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
KMT-2017-BLG-0849 b;KMT-2017-BLG-0849;Массивная Суперземля;6.39;1.77;6.35;240;20.44;0.084;0.961;0.805;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
KMT-2017-BLG-0849L b;KMT-2017-BLG-0849L;Массивная Суперземля;6.39;1.77;6.35;240;20.44;0.084;0.961;0.805;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
OGLE-2018-BLG-0532L b;OGLE-2018-BLG-0532L;Массивная Суперземля;6.23;1.77;6.18;239;20.44;0.085;0.929;0.803;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
OGLE-2018-BLG-0532 b;OGLE-2018-BLG-0532;Массивная Суперземля;6.24;1.77;6.20;239;20.44;0.085;0.931;0.802;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
GJ 667 C c;GJ 667 C;Мир-Океан;4.60;1.78;4.50;238;28.14;0.125;0.589;0.799;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1410 b;Kepler-1410;Массивная Суперземля;8.88;1.78;8.67;274;60.87;0.260;0.576;0.796;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Teegarden's b;Teegarden's;Мир-Океан;4.39;1.79;4.25;274;4.91;0.025;0.539;0.795;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-283 Ac;Kepler-283 A;Массивная Суперземля;6.17;1.82;5.68;238;92.74;0.337;0.817;0.793;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
HIP 38594 b;HIP 38594;Массивная Суперземля;7.49;1.92;5.83;263;60.72;0.256;0.826;0.792;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
HD 283869 b;HD 283869;Мир-Океан;6.51;1.96;4.76;263;106.00;0.396;0.604;0.785;Оригинал;Оригинал
Kepler-296 f;Kepler-296;Массивная Суперземля;7.92;1.80;7.48;230;63.34;0.246;0.818;0.780;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-22 b;Kepler-22;Массивная Суперземля;9.10;2.10;5.41;254;289.86;0.814;0.706;0.779;Оригинал;Оригинал
Kepler-440 b;Kepler-440;Массивная Суперземля;6.05;1.86;5.18;229;101.11;0.353;0.708;0.770;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
HN Lib b;HN Lib;Мир-Океан;3.58;1.69;4.10;214;36.12;0.142;0.531;0.767;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1058 Ab;Kepler-1058 A;Массивная Суперземля;8.46;2.11;4.97;264;110.96;0.407;0.614;0.763;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
K2-288 B b;K2-288 B;Мир-Океан;5.42;1.90;4.36;227;31.39;0.135;0.535;0.759;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-705 b;Kepler-705;Массивная Суперземля;13.30;2.11;7.80;243;56.06;0.232;0.819;0.758;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1653 Ab;Kepler-1653;Массивная Суперземля;10.36;2.17;5.55;244;140.25;0.474;0.719;0.751;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
